74,"http://hal.freedesktop.org/releases/polkit-0.95.tar.gz","polkit-0.95.tar.gz","polkit-0.95","2009-11-13","2009-12-27"
75,"http://search.cpan.org/CPAN/authors/id/B/BD/BDFOY/ConfigReader-Simple-1.28.tar.gz","ConfigReader-Simple-1.28.tar.gz","ConfigReader-Simple-1.28","2009-11-07"
76,"ftp://ftp.gnu.org/pub/gnu/mcron/mcron-1.0.4.tar.gz","mcron-1.0.4.tar.gz","mcron-1.0.4","2009-11-09"
77,"http://hal.freedesktop.org/releases/eggdbus-0.6.tar.gz","eggdbus-0.6.tar.gz","eggdbus-0.6","2009-11-13"
78,"http://downloads.sourceforge.net/docbook/docbook-xsl-1.75.2.tar.bz2","docbook-xsl-1.75.2.tar.bz2","docbook-xsl-1.75.2","2009-11-09"
79,"http://www.kernel.org/pub/linux/libs/pam/library/Linux-PAM-1.1.1.tar.bz2","Linux-PAM-1.1.1.tar.bz2","Linux-PAM-1.1.1","2009-12-27"
80,"http://ftp.gnome.org/pub/gnome/sources/gobject-introspection/0.6/gobject-introspection-0.6.7.tar.bz2","gobject-introspection-0.6.7.tar.bz2","gobject-introspection-0.6.7","2009-12-27"
81,"ftp://sourceware.org/pub/libffi/libffi-3.0.8.tar.gz","libffi-3.0.8.tar.gz","libffi-3.0.8","2009-11-11"
82,"http://subversion.tigris.org/downloads/subversion-1.6.9.tar.bz2","subversion-1.6.9.tar.bz2","subversion-1.6.9","2010-04-01"
83,"http://www.openssl.org/source/openssl-0.9.8l.tar.gz","openssl-0.9.8l.tar.gz","openssl-0.9.8l","2009-11-05"
84,"ftp://ftp.alsa-project.org/pub/utils/alsa-utils-1.0.22.tar.bz2","alsa-utils-1.0.22.tar.bz2","alsa-utils-1.0.22","2009-12-16"
85,"http://bitbucket.org/rg3/youtube-dl/raw/2009.09.13/youtube-dl","youtube-dl","youtube-dl","2009-11-20"
86,"http://sourceforge.net/projects/dejavu/files/dejavu/2.30/dejavu-fonts-ttf-2.30.tar.bz2?use_mirror=ignum","dejavu-fonts-ttf-2.30.tar.bz2","dejavu-fonts-ttf-2.30","2009-11-20"
87,"http://prdownloads.sourceforge.net/perltidy/Perl-Tidy-20090616.tar.gz","Perl-Tidy-20090616.tar.gz","Perl-Tidy-20090616","2009-11-22"
88,"http://sourceforge.net/projects/boost/files/boost/1.41.0/boost_1_41_0.tar.gz/download","boost_1_41_0.tar.gz","boost_1_41_0","2009-11-23"
89,"http://ftp.gnu.org/pub/gnu/guile/guile-1.8.7.tar.gz","guile-1.8.7.tar.gz","guile-1.8.7","2009-11-24"
