83,"http://www.openssl.org/","http://en.wikipedia.org/wiki/OpenSSL","http://www.linuxfromscratch.org/blfs/view/svn/postlfs/openssl.html","n/a","2009-11-18"
84,"http://www.alsa-project.org/","http://en.wikipedia.org/wiki/Advanced_Linux_Sound_Architecture","http://www.linuxfromscratch.org/blfs/view/svn/multimedia/alsa-utils.html","n/a","2009-11-20"
85,"http://bitbucket.org/rg3/youtube-dl/raw/2009.09.13/youtube-dl","n/a","n/a","2009-11-20"
86,"http://dejavu-fonts.org","http://en.wikipedia.org/wiki/DejaVu_fonts","n/a","n/a","2009-11-20"
87,"http://perltidy.sourceforge.net/","n/a","n/a","n/a","2009-11-22"
89,"http://www.gnu.org/software/guile/guile.html","http://en.wikipedia.org/wiki/GNU_Guile","http://en.wikipedia.org/wiki/GNU_Guile","n/a","2009-11-24"
90,"http://www.gnu.org/software/ed/ed.html","http://en.wikipedia.org/wiki/Ed_(text_editor)","http://www.linuxfromscratch.org/blfs/view/svn/postlfs/ed.html","n/a"
91,"http://savannah.gnu.org/projects/which","http://en.wikipedia.org/wiki/Which_(Unix)","http://www.linuxfromscratch.org/blfs/view/svn/general/which.html","2009-11-24"
92,"http://www.tcl.tk/","http://en.wikipedia.org/wiki/Tcl","http://www.linuxfromscratch.org/blfs/view/svn/general/tcl.html","2009-11-25"
93,"http://expect.nist.gov/","http://en.wikipedia.org/wiki/Expect","http://www.linuxfromscratch.org/blfs/view/svn/general/expect.html","2009-11-25"
94,"http://software.schmorp.de/pkg/rxvt-unicode","http://en.wikipedia.org/wiki/Rxvt-unicode","2009-11-25"
96,"http://lynx.isc.org/","http://en.wikipedia.org/wiki/Lynx_(web_browser)","http://www.linuxfromscratch.org/blfs/view/svn/basicnet/lynx.html","2009-11-26"
97,"http://search.cpan.org/~bdfoy/Test-Output-0.16/lib/Test/Output.pm","n/a","http://www.linuxfromscratch.org/blfs/view/svn/general/perl-modules.html","n/a","2009-11-26"
98,"http://search.cpan.org/dist/Sub-Exporter/","n/a","http://www.linuxfromscratch.org/blfs/view/svn/general/perl-modules.html","n/a","2009-11-26"
99,"http://search.cpan.org/~rjbs/Data-OptList-0.104/","n/a","http://www.linuxfromscratch.org/blfs/view/svn/general/perl-modules.html","n/a","2009-11-26"
100,"http://search.cpan.org/dist/Params-Util/","n/a","http://www.linuxfromscratch.org/blfs/view/svn/general/perl-modules.html","n/a","2009-11-26"
101,"http://search.cpan.org/~rjbs/Sub-Install-0.925","n/a","http://www.linuxfromscratch.org/blfs/view/svn/general/perl-modules.html","n/a","2009-11-26"
103,"http://curl.haxx.se/","http://en.wikipedia.org/wiki/CURL","http://www.linuxfromscratch.org/blfs/view/svn/basicnet/curl.html","n/a","2009-12-05"
104,"http://www.icu-project.org/","http://en.wikipedia.org/wiki/International_Components_for_Unicode","n/a","n/a","2009-12-06"
105,"http://search.cpan.org/dist/PDF-API3/","n/a","n/a","2010-03-31"
106,"ftp://carroll.aset.psu.edu/pub/kde/stable/4.3.4/src/","n/a","n/a","2009-12-12"
109,"http://www.openssh.com/","http://en.wikipedia.org/wiki/OpenSSH","http://www.linuxfromscratch.org/blfs/view/svn/server/openssh.html","n/a","2009-12-16"
110,"http://git-scm.com/","http://en.wikipedia.org/wiki/Git_(software)","n/a","n/a","2009-12-16"
111,"http://www.samba.org/","http://en.wikipedia.org/wiki/Samba_(software)","http://www.linuxfromscratch.org/blfs/view/svn/server/samba3.html","n/a","2009-12-18"
112,"http://template-toolkit.org/","http://en.wikipedia.org/wiki/Template_Toolkit","n/a","n/a","2009-12-22"
113,"http://www.troywill.com/","n/a","n/a","n/a","2009-12-23"
114,"http://search.cpan.org/~dbrian/XML-SimpleObject-0.53","n/a","n/a","n/a","2009-12-28"
115,"http://search.cpan.org/dist/XML-LibXML","http://en.wikipedia.org/wiki/Libxml2","http://www.linuxfromscratch.org/blfs/view/svn/general/perl-modules.html","n/a","2009-12-28"
118,"http://www.troywill.com/xorg-from-scratch/xproto.html","","","","2009-12-28"
119,"http://www.troywill.com/xorg-from-scratch/xlibrary.html","","","","2009-12-28"
120,"http://search.cpan.org/dist/TermReadKey/ReadKey.pm","n/a","n/a","n/a","2010-01-03"
121,"http://www-lmmb.ncifcrf.gov/~toms/atchange.html","n/a","n/a","n/a","2010-01-24"
